"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"proxy","proxy","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"purrr","purrr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"quadprog","quadprog","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"R6","R6","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ramify","ramify","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.3",NA,NA,"stats",NA,"testthat, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"rappdirs","rappdirs","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"rbibutils","rbibutils","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.2.8",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"RColorBrewer","RColorBrewer","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"Rcpp","Rcpp","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.8.3",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RcppCNPy","RcppCNPy","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.2.11",NA,"R (>= 3.1.0)","methods, Rcpp","Rcpp","reticulate, pinp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"Rdpack","Rdpack","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.3.1",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"recipes","recipes","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.0",NA,"dplyr, R (>= 3.4)","cli, ellipsis, generics (>= 0.1.2), glue, gower, hardhat (>=
1.2.0), ipred (>= 0.9-12), lifecycle, lubridate (>= 1.8.0),
magrittr, Matrix, purrr (>= 0.2.3), rlang (>= 1.0.3), stats,
tibble, tidyr (>= 1.0.0), tidyselect (>= 1.1.2), timeDate,
utils, vctrs, withr",NA,"covr, ddalpha, dials (>= 1.0.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, testthat (>=
3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"registry","registry","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"renv","renv","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.15.5",NA,NA,"utils",NA,"BiocManager, cli, covr, devtools, knitr, miniUI, packrat,
pak, R6, remotes, reticulate, rmarkdown, rstudioapi, shiny,
testthat, uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"riverplot","riverplot","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.10",NA,NA,"methods,RColorBrewer",NA,"knitr,maptools,qpdf,rmarkdown",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"rlang","rlang","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0.3",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"rmarkdown","rmarkdown","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.14",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.3.5),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rngtools","rngtools","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rprojroot","rprojroot","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rstudioapi","rstudioapi","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"sass","sass","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"scales","scales","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2.0",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"shape","shape","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"SomaticSignatures","SomaticSignatures","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.26.0",NA,"R (>= 3.1.0), VariantAnnotation, GenomicRanges, NMF","S4Vectors, IRanges, GenomeInfoDb, Biostrings, ggplot2, ggbio,
reshape2, NMF, pcaMethods, Biobase, methods, proxy",NA,"testthat, knitr, parallel,
BSgenome.Hsapiens.1000genomes.hs37d5, SomaticCancerAlterations,
ggdendro, fastICA, sva",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"SQUAREM","SQUAREM","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"stringi","stringi","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.7.6",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.2"
"stringr","stringr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"tibble","tibble","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","3.1.7",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 1.0.0),
magrittr, methods, pillar (>= 1.7.0), pkgconfig, rlang (>=
1.0.1), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"tidyr","tidyr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2.0",NA,"R (>= 3.1)","dplyr (>= 1.0.0), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.7)","cpp11 (>= 0.4.0)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"tidyselect","tidyselect","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.1.2",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 1.0.1),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
3.1.1), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"timeDate","timeDate","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"tinytex","tinytex","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.40",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"utf8","utf8","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"vctrs","vctrs","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.1",NA,"R (>= 3.3)","cli (>= 3.2.0), glue, rlang (>= 1.0.2)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), withr, xml2, waldo (>= 0.2.0),
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"viridis","viridis","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.6.2",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"viridisLite","viridisLite","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"withr","withr","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"xfun","xfun","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.31",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"yaml","yaml","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.3.5",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"YAPSA","YAPSA","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.16.0",NA,"R (>= 3.6.0), GenomicRanges, ggplot2, grid","limSolve, SomaticSignatures, VariantAnnotation, GenomeInfoDb,
reshape2, gridExtra, corrplot, dendextend, GetoptLong,
circlize, gtrellis, doParallel, PMCMR, ggbeeswarm,
ComplexHeatmap, KEGGREST, grDevices, Biostrings,
BSgenome.Hsapiens.UCSC.hg19, magrittr, pracma, dplyr, utils",NA,"testthat, BiocStyle, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"abind","abind","/opt/R/4.0.2/lib/R/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"annotate","annotate","/opt/R/4.0.2/lib/R/library","1.68.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"AnnotationDbi","AnnotationDbi","/opt/R/4.0.2/lib/R/library","1.52.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"AnnotationFilter","AnnotationFilter","/opt/R/4.0.2/lib/R/library","1.14.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"AnnotationHub","AnnotationHub","/opt/R/4.0.2/lib/R/library","2.22.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"ape","ape","/opt/R/4.0.2/lib/R/library","5.4-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"ArchR","ArchR","/opt/R/4.0.2/lib/R/library","0.9.5",NA,"ggplot2, SummarizedExperiment, data.table, Matrix, rhdf5,
magrittr, S4Vectors (>= 0.9.25), BiocGenerics, GenomicRanges","Rcpp (>= 0.12.16), matrixStats, plyr, nabor, motifmatchr,
chromVAR, uwot, ggrepel, Rsamtools, gtable, gtools, stringr,
grid, gridExtra, Biostrings, ComplexHeatmap","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"argparse","argparse","/opt/R/4.0.2/lib/R/library","2.0.3",NA,NA,"R6, findpython, jsonlite",NA,"knitr (>= 1.15.19), rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"askpass","askpass","/opt/R/4.0.2/lib/R/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"assertthat","assertthat","/opt/R/4.0.2/lib/R/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"backports.1","backports","/opt/R/4.0.2/lib/R/library","1.2.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"base","base","/opt/R/4.0.2/lib/R/library","4.0.2","base",NA,NA,NA,"methods",NA,"Part of R 4.0.2",NA,NA,NA,NA,NA,"4.0.2"
"base64enc.1","base64enc","/opt/R/4.0.2/lib/R/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"beachmat","beachmat","/opt/R/4.0.2/lib/R/library","2.6.1",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix",NA,"testthat, BiocStyle, knitr, rmarkdown, devtools, BiocParallel",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"beeswarm","beeswarm","/opt/R/4.0.2/lib/R/library","0.2.3",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BH","BH","/opt/R/4.0.2/lib/R/library","1.72.0-3",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.2"
"Biobase","Biobase","/opt/R/4.0.2/lib/R/library","2.50.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"BiocFileCache","BiocFileCache","/opt/R/4.0.2/lib/R/library","1.14.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BiocGenerics","BiocGenerics","/opt/R/4.0.2/lib/R/library","0.36.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BiocManager","BiocManager","/opt/R/4.0.2/lib/R/library","1.30.10",NA,NA,"utils",NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BiocNeighbors","BiocNeighbors","/opt/R/4.0.2/lib/R/library","1.8.1",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppAnnoy, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"BiocParallel","BiocParallel","/opt/R/4.0.2/lib/R/library","1.24.1",NA,"methods","stats, utils, futile.logger, parallel, snow","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"BiocSingular","BiocSingular","/opt/R/4.0.2/lib/R/library","1.6.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"BiocVersion","BiocVersion","/opt/R/4.0.2/lib/R/library","3.12.0",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"biomaRt","biomaRt","/opt/R/4.0.2/lib/R/library","2.46.0",NA,"methods","utils, XML, AnnotationDbi, progress, stringr, httr, openssl,
BiocFileCache, rappdirs, xml2",NA,"annotate, BiocStyle, knitr, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"Biostrings","Biostrings","/opt/R/4.0.2/lib/R/library","2.58.0",NA,"R (>= 3.5.0), methods, BiocGenerics (>= 0.31.5), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2)","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"biovizBase","biovizBase","/opt/R/4.0.2/lib/R/library","1.38.0",NA,"R (>= 3.5.0), methods","grDevices, stats, scales, Hmisc, RColorBrewer, dichromat,
BiocGenerics, S4Vectors (>= 0.23.19), IRanges (>= 1.99.28),
GenomeInfoDb (>= 1.5.14), GenomicRanges (>= 1.23.21),
SummarizedExperiment, Biostrings (>= 2.33.11), Rsamtools (>=
1.17.28), GenomicAlignments (>= 1.1.16), GenomicFeatures (>=
1.21.19), AnnotationDbi, VariantAnnotation (>= 1.11.4),
ensembldb (>= 1.99.13), AnnotationFilter (>= 0.99.8), rlang",NA,"BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, BSgenome, rtracklayer,
EnsDb.Hsapiens.v75, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.2"
"bit","bit","/opt/R/4.0.2/lib/R/library","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bit64","bit64","/opt/R/4.0.2/lib/R/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bitops","bitops","/opt/R/4.0.2/lib/R/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"blob","blob","/opt/R/4.0.2/lib/R/library","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"bluster","bluster","/opt/R/4.0.2/lib/R/library","1.0.0",NA,NA,"stats, methods, utils, Matrix, Rcpp, igraph, S4Vectors,
BiocParallel, BiocNeighbors","Rcpp","knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"boot","boot","/opt/R/4.0.2/lib/R/library","1.3-25","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.2"
"brew","brew","/opt/R/4.0.2/lib/R/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.2"
"brio","brio","/opt/R/4.0.2/lib/R/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"broom","broom","/opt/R/4.0.2/lib/R/library","0.7.2",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, coda, covr, drc, e1071, emmeans,
epiR, ergm (>= 3.10.4), fixest (>= 0.5.0), gam (>= 1.15),
gamlss, gamlss.data, gamlss.dist, gee, geepack, ggplot2,
glmnet, glmnetUtils, gmm, Hmisc, irlba, joineRML, Kendall,
knitr, ks, Lahman, lavaan, leaps, lfe, lm.beta, lme4, lmodel2,
lmtest (>= 0.9.38), lsmeans, maps, maptools, margins, MASS,
Matrix, mclogit, mclust, mediation, metafor, mfx, mgcv, mlogit,
modeldata, modeltests, muhaz, multcomp, network, nnet, orcutt
(>= 2.2), ordinal, plm, poLCA, psych, quantreg, rgeos,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep,
spatialreg, speedglm, spelling, survey, survival, systemfit,
testthat (>= 2.1.0), tseries, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
